Experiment,Scenario,Baseline,MSE baseline,MSE TimesFM,Δ (TF − baseline),TimesFM better (MSE)
AR,p = 2,"ARIMA(p,0,0)",0.631848155614962,0.6556768274277405,0.02382867181277848,False
AR,p = 5,"ARIMA(p,0,0)",1.1179685360148188,0.9847999186280856,-0.13316861738673325,True
ARMA,"(p,q) = (2,2)","ARIMA(p,0,q)",0.6724554424521877,0.6937443546286373,0.02128891217644957,False
ARMA,"(p,q) = (2,5)","ARIMA(p,0,q)",0.9916134877621328,0.9525487839877284,-0.03906470377440441,True
ARMA,"(p,q) = (5,2)","ARIMA(p,0,q)",1.2929059786726358,1.011069774699122,-0.28183620397351383,True
ARMA,"(p,q) = (5,5)","ARIMA(p,0,q)",1.165064123518745,0.9608688069344182,-0.20419531658432688,True
MA,q = 2,"ARIMA(0,0,q)",0.6235311076033154,0.6798925961230655,0.05636148851975009,False
MA,q = 5,"ARIMA(0,0,q)",1.1821670483423796,1.0899876543335183,-0.09217939400886133,True
Markov switching,MS-AR(1) DGP,OLS AR(1),1.2545192132576712,1.3062295099892511,0.0517102967315799,False
Seasonal (airline),"m=12, k_first=37","SARIMA(0,1,1)(0,1,1)ₘ",0.9156648697480256,0.8112612122990258,-0.10440365744899982,True
